п/н";"Объект";"Адрес";"Округ";"Компания";"Менеджер";"Период обслуживания";"Latitude";"Longitude";"Дата последнего ТО";"Ссылка"
"1025 ТБ";"ООО «АСТРЕЯ-НЕДВИЖИМОСТЬ»";"Москва  ул 16-я Парковая, д. 20Бс2";"Одинцово";"Технологии Безопасности";"Гусев П.И.";"КВ";"55.8011928";"37.8292095";"новый";"https://durnovcev2000.kaiten.ru/42405893"
"138643";"ИП Румянцев Василий Николаевич / Магазин – Бар «Галерея Пива»";"Москва, ул. Новоалексеевская, дом 16, корп.3";"Одинцово";"Технологии Безопасности";"Христенко Е.А.";"КВ";"55.8077812";"37.6476439";"новый";"https://durnovcev2000.kaiten.ru/48264528"
"192214";"ООО ""ЧОП ""СТОРМ-БЕЗОПАСНОСТЬ""/(Пост охраны АО Московское протезно-ортопедическое предприятие)";"Реутов, ул. Ленина, д. 25";"Одинцово";"ИП Гусев";"Гусев П.И.";"КВ";"55.7596524";"37.8549824";"новый";"https://durnovcev2000.kaiten.ru/48469180"
"1757";"ООО ЧОП «Технологии безопасности»/(Банк Казани, касса)";"Москва г, ул Автозаводская, д. 4";"Одинцово";"Технологии Безопасности";"Гусев П.И.";"КВ";"55.70440079999999";"37.63464080000001";"новый";"https://durnovcev2000.kaiten.ru/48499407"
"138102";"ИП Богомолов Сергей Викторович";"Москва,  Новопесчаная, д. 6, к. 2";"Одинцово";"Технологии Безопасности";"Гаук Е.М.";"КВ";"55.8009444";"37.5161642";"новый";"https://durnovcev2000.kaiten.ru/48717267"
"138965";"ООО «РЕНТ ЦЕНТРАЛЬ»/ Ломбард Благо";"Москва, ул. Яблочкова, д.21, с.1";"Одинцово";"Эсток-Сервис";"Пряшников Д.Ю.";"КВ";"55.81970399999999";"37.57754000000001";"новый";"https://durnovcev2000.kaiten.ru/49178050"
"133010";"ИП Литвиненко Д.И. (Магазин «Выгодный Комиссионный»)";"Лесной Городок дп, Молодежная ул, дом 8";"Одинцово";"Гранит";"Христенко Е.А.";"КВ";"55.6389146";"37.2197175";"-";"-"
"№755";"ИП Иванович/Административное здание";"Москва г, Сходненская ул, дом № 6";"Одинцово";"Технологии Безопасности";"Гаук Е.М.";"КВ";"55.8396806";"37.4384153";"-";"-"
"137832";"ИП Спиридонов И.И. пекарня ""Буханка""";".Москва, ул. Луговая, 6к1.";"Одинцово";"Эсток-Сервис";"Ткаченко В.Н.";"КВ";"55.68571009999999";"37.3455374";"20.05.2025";"https://durnovcev2000.kaiten.ru/46076619"
"132747";"ООО ""МЕРИДИАН""/ Аптека Планета Здоровья";"Московская обл, Солнечногорский р-н, Солнечногорск г, Голубое д, Трехсвятская ул, дом 6";"Одинцово";"Гранит";"Пряшников Д.Ю.";"КВ";"55.9751561";"37.0986789";"07.05.2025";"https://durnovcev2000.kaiten.ru/33680714"
