"Дата заявки";"п/н ";"Адрес";"Округ";"Наименование";"Доп. информация";"Телефон клиента или менеджер";"Статус заявки";"Что сделано, отчет техника/инженера по месту";"Комментарий инженера";"Latitude";"Longitude"
"02.05.2024";"85330";"деревня Суханово, 138";"Видное";"Коттедж  Лебедева Юлия Валентиновна";"заменить АКБ";"-";"не назначено";"-";"-";"55.5188472";"37.6541126"
"02.05.2024";"131611";"Ленинский р-н д.Дрожжино, Южная д.19 к.1";"Видное";"ПВЗ Озон ИП Максимрв С.В.";"заменить АБ 19 зоны";"-";"не назначено";"-";"-";"55.5205368";"37.5932457"
"02.05.2024";"131871";"Смоленск, Николаева д.74";"смоленск";"ТЦ Сфера";"заменить АБ 20 зоны";"-";"не назначено";"-";"-";"54.7682576";"32.0087138"
"02.05.2024";"131957";"Калуга,МюЖукова д.3";"калуга";"Аптека Вита Экспресс";"заменить АКБ";"-";"не назначено";"-";"-";"54.506025";"36.2516145"
"02.05.2024";"132856";"Киржач, Б.Московвская д.21";"киржач";"Все Инструменты";"заменить АКБ";"-";"не назначено";"-";"-";"56.1533591";"38.8529042"
"02.05.2024";"132969";"Тула, пр-т Ленина 145";"тула";"Все Инструменты";"заменить АБ 22";"-";"не назначено";"-";"-";"54.149092";"37.584131"
"02.05.2024";"133422";"Профсоюзная 146 корпус 1";"Теплый";"Ломбард";"проверить АБ 17 зоны, заменить АКБ";"-";"не назначено";"-";"-";"55.6234614";"37.5063147"
"02.05.2024";"135068";"Калуга, Болдинва д.87 к.4";"калуга";"Все Инструменты";"заменить АБ 21 зоны";"-";"не назначено";"-";"-";"54.501634";"36.30914"
"02.05.2024";"135080";"г.Химки, Молодежная д.42";"Химки";"Гараж № 20";"НКС";"-";"не назначено";"-";"-";"55.88893419999999";"37.4051398"
"02.05.2024";"135178";"г Красногорск ул Видная 5";"Красногорск";"Офис ООО Мерго";"тревога тампера 17 зоны";"-";"не назначено";"-";"-";"55.8412538";"37.3439838"
"02.05.2024";"136795";"Нагатинская ул, дом № 27";"Коломенская";"ООО «АПТЕЧНЫЙ СКЛАД «ПОДМОСКОВЬЕ», аптека,";"долбит отказ связи";"-";"не назначено";"-";"-";"55.6792876";"37.6429149"
"02.05.2024";"136899";"Тульская об.г. Ефремов, Комсомольская д.43";"ефремов";"Доброцен ООО ПВ Центр-2";"НКС";"-";"не назначено";"-";"-";"53.1423668";"38.1140418"
"02.05.2024";"136901";"МКАД 41-й километр, д.4 , стр.32 ,";"МКАД";"ТОГК Славянский мир, ряд К-3, павильон 8, Склад материалов";"заменить АКБ";"постоянные отключения";"не назначено";"-";"-";"55.7362202";"37.6370578"
"02.05.2024";"137178";"г.Красногорск, Видная д.5 п.5";"Красногорск";"Офис ООО Мерго";"тревоги тампера 17 зоны";"-";"не назначено";"-";"-";"55.8412538";"37.3439838"
"02.05.2024";"137365";"г Балашиха, ул Лукино, д. 51А, помещ. 3,4,5";"Балашиха";"Офис";"нет готовности/обучить х/о";"-";"не назначено";"-";"-";"55.83654199999999";"37.9385183"
"03.05.2024";"1323";"Борисовский пр-д д.46А ";"Домодедовская";"Фуд Экспресс";"НКС";"-";"не назначено";"-";"-";"55.61345300000001";"37.729674"
"03.05.2024";"132987";"Москва ул Профсоюзная 15";"Новые Черемушки";"Пекарня Хлебница ИП Попаз С С";"проверить АБ 23 зоны";"-";"не назначено";"-";"-";"55.6790647";"37.5653648"
"06.05.2024";"1687";"Тверская, д.6с1";"Тверская";"Кафе ""Чайная высота""";"проверить 220В/првоерить работоспособность";"Насим 06.05.24";"назначено";"-";"-";"55.7566954";"37.61367240000001"
"06.05.2024";"52246";"г.Электосталь, Журавлева д.2";"Электросталь";"Все Инструменты";"сработки ПС , с большой стремянкой";" ";"не назначено";"89645654544";"-";"55.7763235";"38.4329421"
"06.05.2024";"81274";"МО Истринский район д Покровское ул Центральная 33 корп 4";"Истра-Звенигород";"Бутик Хендерсон ООО Тами и Ко";"проверить работоспособость 11,12 зон";"-";"не назначено";"79262655807 Макеева";"-";"55.8117677";"37.0216569"
"06.05.2024";"90879";"г Мытищи, п Николо-Прозорово, ул А.В.Суворова, д. 102";"Мытищи";"частный дом";"тревоги тампера 19 зоны";"-";"не назначено";" Соловей Елена Борисовна +79032471804";"-";"56.0839145";"37.6130369"
"06.05.2024";"136307";"Люблинская 76к3 ";"Братиславская";"Салон коррекции и эстетики тела Виво Бьюти";"батарея 17 зоны, закрепить датчики";"-";"не назначено";"-";"-";"55.66294869999999";"37.7320984"
"06.05.2024";"137288";"Генерала Ермолова 6/ площадь Победы 2/2";"Парк Победы";"ОСП ДК Аструм на Ермолова ГБУК г Москвы ОКЦ ЗАО";"не проходит КТС";"-";"не назначено";"-";"-";"55.7339422";"37.5188139"
"06.05.2024";"310207";"МО., Одинцовский р-н, г.п. Кубинка д.Акулово, СНТ ""Пульс"" уч. 56";"Кубинка";"Коттедж";"заменить АКБ";"ДАниелян 14.05.2024";"назначено";"89037222987 Сергей Юрьевич";"-";"55.6299296";"37.020931"
"07.05.2024";"130606";"Раменский р-н с.Карпово 195";"Раменское";"Магазин Мильстрим ООО Торговый дом Новоритейл";"заменить АКБ";"-";"не назначено";"-";"-";"55.578174";"38.5705901"
"07.05.2024";"131919";"г.Люберцы, Мира д.6";"-";"-";"НКС";"-";"не назначено";"-";"-";"55.6606537";"37.9101289"
"07.05.2024";"133567";"г.Люберцы, Карла Либкнехта д.8А стр.1";"Люберцы";"Мос Табак";"заменить АКБ";"-";"не назначено";"-";"-";"55.69823969999999";"37.8646392"
"07.05.2024";"134220";"Бирюлевская 7к1 ";"Царицыно";"Магазин Овощи Фрукты Сухофрукты";"НКС";"-";"не назначено";"-";"-";"55.5989271";"37.66495889999999"
"07.05.2024";"136846";"Каширское шоссе 122";"Домодедовская";"Барбершоп Бетон ИП Володин А А";"тампер/АБ 17 зоны";"-";"не назначено";"-";"-";"55.6061695";"37.71800289999999"
"07.05.2024";"-";"МО Ленинский район с п Булатниковское д Дрожжино ул Новое шоссе 8 корп 2";"Видное";"Магазин детских товаров Буенкова Р Ф";"заменить АКБ";"-";"не назначено";"-";"-";"55.52543";"37.5924746"
"08.05.2024";"1504";"Ленинский район дер Городище ул Весенняя 25";"Ям";"коттедж";"НКС";"-";"не назначено";"Воюш Алексей Сергеевич +79261611833";"-";"54.2984812";"37.4354383"
"08.05.2024";"1506";"ЖК Дубровка пер Кленовый д 2 кв 8";"Домодедово";"Квартира Горбань Е.Ю. ";"НКС";"-";"не назначено";"Горбань Елена Юрьевна 8-916-872-58-73";"-";"55.5722572";"37.4504492"
"08.05.2024";"1521";"д. Городище Ленинский район ул. Весенняя д.9";"Ям";"Коттедж Ханна Халим Абдулла ";"НКС";"А 34";"не назначено";"Ханна Халим Абдула +79035777199";"-";"54.26428929999999";"37.4291169"
"08.05.2024";"1564";"8 марта д.1";"Динамо";"Аптека ГБУЗ  Мо ЦКПБ имю ФюАюА Усольцева";"НКС";"-";"не назначено";"Рахимова Минзаля +79610513928";"-";"55.509141";"37.580572"
"08.05.2024";"1566";"г.Лосино Петровский тер . Медное Власово стр.1";"Щелково";"Пост Охраны";"НКС";"А 44";"не назначено";"-";"-";"55.9387816";"38.2002937"
"08.05.2024";"8424";"Красностуденческий пр-д д.9 кв.3";"-";"Квартира";"отладить тесты";"-";"не назначено";"-";"-";"55.8243664";"37.565047"
"08.05.2024";"90021";"г. Одинцово д.Малые Вяземы";"Одинцово";"Котельная";"отладить тесты";"-";"не назначено";"-";"-";"55.6297289";"37.0213544"
"08.05.2024";"91337";"Лескова 22";"Алтуфьево";"Часы Лескова ИП Атимашай Е Н";"НКС";" ";"не назначено";" Атимашай Галина Феликсовна +79258660322";"-";"55.895743";"37.6103982"
"08.05.2024";"93021";"Ленинский рн Молоково, ул.Революционная д.27";"Молоково";"Склад Драгун В.С.";"НКС";"-";"не назначено";"-";"-";"55.5619393";"37.8724207"
"08.05.2024";"132790";"г.Пушкино, пр Московский д.21";"Пушкино";"Аптека Планета ООО Здоровье";"прибор пахнет гарью";"-";"не назначено";"-";"-";"56.0097251";"37.8521166"
"08.05.2024";"136837";"Кировоградская 36 к 2 ";"Пражская";"ИП Володин А А";"НКС/замена прибора";" ";"не назначено";" ";"-";"55.6045332";"37.5983873"
"08.05.2024";"310226";"п. Баковка, Трудовая д.36";"Одинцово";"ДК п.Баковка";"НКС";"-";"не назначено";"Савельева Марина Юрьевна 8962-929-76-83";"-";"55.6826036";"37.3149892"
"08.05.2024";"310341";".Звенигород ул. Лермонтова вл.39 (возле Гелиопарка)";"Звенигород";"ООО Экосервис Насосная станция";"НКС";"-";"не назначено";"-";"-";"55.7409791";"36.8481265"
"08.05.2024";"310349";"с.Братощина , ул Центральная д.92А";"Пушкино";"Узелс связи АО Уфанет";"НКС";"А 26";"не назначено";"-";"-";"56.05219049999999";"37.8820653"
"13.05.2024";"91915";"Болотниковская 31 корпус 1";"Нахимовский";"Салон красоты ООО Бистро 317";"заменить АКБ";"-";"не назначено";"-";"-";"55.659099";"37.5913571"
"13.05.2024";"93103";"Перовская 4 корп 1";"Энтузиастов";"Аптека планета Здоровья ООО Аджента";"не проходит КТС";"-";"не назначено";"Смирнова Татьяна Денисовна +79773898530";"-";"55.747121";"37.7552639"
"13.05.2024";"93151";"МО г Лосино Петровский пос Биокомбината 3";" г Лосино Петровский";"ФЦ Лосино Петровский МБУ МФЦ городского округа Лосино Петровский";"заменить АКБ";"-";"не назначено";"-";"-";"55.916154";"38.108712"
"13.05.2024";"131790";"Ступино п Малино ул Придорожная 20 А ";"Ступино";"Коттедж Сергеев Н.Н.";"заменить АКБ";"-";"не назначено";"-";"-";"54.8328589";"38.1608404"
"13.05.2024";"132275";"Раменское, Крымская улица, 11";"Раменки";"ООО ""Планета Здоровья Холдинг"" ";"заменить АКБ";"-";"не назначено";"-";"-";"55.57188";"38.25672"
"13.05.2024";"132370";"г. Красногорск, Красногорский б-р., 9, пом. Х ";"Красногорск";"ООО ""Планета Здоровья Холдинг""";"заменить АКБ";"-";"не назначено";"-";"-";"55.8160844";"37.3650673"
"13.05.2024";"132841";"балашиха, Свердлова 16/5";"Балашиха";"Сеть салон Оптика ОО Ленц98";"заменить АКБ";"прошло востановление";"не назначено";"-";"-";"55.8218507";"37.9696552"
"13.05.2024";"133144";"п. Коммунарка, ул. Липовый парк, 7";"Коммунарка";"Кафе ""Термос"" (ИП Крафт Ю.Н.),";"заменить АКБ";"-";"не назначено";"-";"-";"55.5687544";"37.4907804"
"13.05.2024";"133528";"Раменское, Крымская улица, 7";"Раменки";" ООО ""Здравник""/Аптека Планета Здоровья";"заменить АКБ";"-";"не назначено";"-";"-";"55.5737212";"38.2611347"
"13.05.2024";"133638";"Новый Арбат, д.11, стр.1";"Арбат";" ООО Максима-Групп, м-н Familia";"заменить АКБ";"-";"не назначено";"-";"-";"55.7520168";"37.5961211"
"13.05.2024";"136893";" г Королев улТихонравова 12";"Королев";"Гаражный кооператив Орбита ГК Орбита";"НКС";"-";"не назначено";"-";"-";"55.9316797";"37.8518552"
"14.05.2024";"39007";"Варшавское шоссе 143 корп 1";"Анино";"Студия красоты Нэйлс Ап ИП Малахова К М";"тревога тампера 701";"-";"не назначено";"-";"-";"55.5832782";"37.5994472"
