 ";"Объект";"Адрес";"Округ";"Компания";"Менеджер";"Период обслуживания";"Latitude";"Longitude";"Дата последнего ТО";"Ссылка"
"135264";"ООО ""ТД ""Азот""/Торговый зал";"Москва г, Намёткина ул, дом 8, строение 1";"ЮЗАО+ЗАО";"Технологии Безопасности";"Мозговой И.В.";"КВ";"55.662434";"37.550493";"04.04.2025";"https://durnovcev2000.kaiten.ru/33814755"
"134178";"ООО ТД «Азот»/Магазин ""AZOT Store (Охота Рыбалка Активный отдых)";"Москва г, Намёткина ул, дом 8, строение 1";"ЮЗАО+ЗАО";"Гранит";"Мозговой И.В.";"КВ";"55.662434";"37.550493";"04.04.2025";"https://durnovcev2000.kaiten.ru/33814768"
"319ТБ";"ИП Погорелов В.К, Шоу-рум «StolStoya»";"Москва г, Намёткина ул, дом № 8, строение 1";"ЮЗАО+ЗАО";"Технологии Безопасности";"Мозговой И.В.";"КВ";"55.6638873";"37.550079";"04.04.2025";"https://durnovcev2000.kaiten.ru/33814844"
"ТО-2301";"ООО Норд";"Москва, ул. Наметкина 8с1";"ЮЗАО+ЗАО";"Гранит";"Мозговой И.В.";"М";"55.66300949999999";"37.5507207";"04.04.2025";"https://durnovcev2000.kaiten.ru/33814941"
"130357";"ООО «Вирту»/Магазин-Гастроном «ДОМ ВКУСА»";"Москва, ул. Наметкина д. 1";"ЮЗАО+ЗАО";"Технологии Безопасности";"Христенко Е.А.";"КВ";"55.6649691";"37.5550836";"04.04.2025";"https://durnovcev2000.kaiten.ru/33814890"
"134300";"ООО ""ТД ""Азот"", Склад";"Москва г, Намёткина ул, дом  8, строение 1";"ЮЗАО+ЗАО";"Гранит";"Мозговой И.В.";"КВ";"55.6638873";"37.550079";"04.04.2025";"https://durnovcev2000.kaiten.ru/33814860"
"138745";"ИП Шелухина Наталья Сергеевна /Пекарня Буханка";"Москва, ул Профсоюзная, д. 43, к. 2";"ЮЗАО+ЗАО";"Эсток-Сервис";"Ткаченко В.Н.";"КВ";"55.6678315";"37.5563892";"04.04.2025";"https://durnovcev2000.kaiten.ru/47514541"
"130358";"ООО «ТОРГОВЫЙ ДОМ ДРЕСС КОД» /М-н Деловая одежда «Дресс Код»";"Москва ул. Профсоюзная, д.24к1";"ЮЗАО+ЗАО";"Технологии Безопасности";"Михно С.С.";"КВ";"55.6797339";"37.5640784";"03.04.2025";"https://durnovcev2000.kaiten.ru/33814838"
"132280";"ООО НПО РЭЙЛ/Аптека планета Здоровья";"Москва, нахимовский пр-кт 42";"ЮЗАО+ЗАО";"Гранит";"Пряшников Д.Ю.";"КВ";"55.677857";"37.56445679999999";"03.04.2025";"https://durnovcev2000.kaiten.ru/33814794"
"№ 1140/15";"ООО «Безопасность Групп»/(Аптека «Таблеточка»)";"Москва, ул. Профсоюзная, 15";"ЮЗАО+ЗАО";"Технологии Безопасности";"Гусев П.И.";"КВ";"55.6790647";"37.5653648";"03.04.2025";"https://durnovcev2000.kaiten.ru/44218646"
"137172";"ООО «ПРОМНАСОСИНЖИНИРИНГ» / Нежилое помещение - Кладовкин";"Москва, ул Профсоюзная, д. 17, к. 2";"ЮЗАО+ЗАО";"Технологии Безопасности";"Михайлов А.Ю.";"КВ";"55.678345";"37.5667959";"03.04.2025";"https://durnovcev2000.kaiten.ru/42523054"
"137538";"ИП Богомолов С.В., офис";"Москва, Нахимовский пр-кт,д.28,корп.1";"ЮЗАО+ЗАО";"Технологии Безопасности";"Гаук Е.М.";"КВ";"55.67362259999999";"37.5769202";"03.04.2025";"https://durnovcev2000.kaiten.ru/35513609"
"90709";"Аптека ""Планета Здоровья""";"Москва, пр. Нахимовский, д. 40";"ЮЗАО+ЗАО";"Гранит";"Пряшников Д.Ю.";"М";"55.67735500000001";"37.565941";"03.04.2025";"https://durnovcev2000.kaiten.ru/33814797"
"151867";"ИП Шелухина Наталья Сергеевна /Пекарня Буханка";"Москва ул Большая Очаковская, д. 2";"ЮЗАО+ЗАО";"Эсток-Сервис";"Ткаченко В.Н.";"КВ";"55.69080599999999";"37.467331";"02.04.2025";"https://durnovcev2000.kaiten.ru/42914034"
"138424";"ООО ""ВКУСНО""";"Москва, Очаковское, д. 5, к. 1";"ЮЗАО+ЗАО";"Эсток-Сервис";"Ткаченко В.Н.";"КВ";"55.6955472";"37.4595278";"02.04.2025";"https://durnovcev2000.kaiten.ru/40351811"
"22145";"АО «Азиатско-Тихоокеанский Банк» / офис банка";"Москва г, ул Усачёва, д. 10, стр. 1";"ЮЗАО+ЗАО";"КОМКОН-Безопасность";"Федорчук С.В.";"КВ";"55.7286";"37.5715337";"21.03.2025";"https://durnovcev2000.kaiten.ru/47529241"
"131778";"ООО ""Баттерфляй Смайл"" Центр эстетической стоматологии ""Butterfly""";"Москва, ул. Большая Серпуховская, д. 5";"ЮЗАО+ЗАО";"Гранит";"Гаук Е.М.";"КВ";"55.728875";"37.625837";"11.03.2025";"https://durnovcev2000.kaiten.ru/33814899"
"132298";"ИП Лапаева Вера Сергеевна/Пекарня Буханка";"Москва г, Беловежская ул, дом № 39, корпус 7";"ЮЗАО+ЗАО";"Гранит";"Ткаченко В.Н.";"КВ";"55.7098447";"37.3970686";"11.03.2025";"https://durnovcev2000.kaiten.ru/33680820"
"1613";"ИП Мустафина Диана Альбертовна, Салон красоты ""Монэ""";"Москва г, Новокузнецкая ул, дом № 6";"ЮЗАО+ЗАО";"Аллигатор";"Супонников М.С.";"КВ";"55.735651";"37.6325184";"11.03.2025";"https://durnovcev2000.kaiten.ru/33814849"
"137405";"ИП Шуняев Алексей Вадимович (магазин иконописной мастерской ""Наследие"")";"Москва г, ул Большая Якиманка, д. 19";"ЮЗАО+ЗАО";"Технологии Безопасности";"Михайлов А.Ю.";"КВ";"55.73792419999999";"37.6155542";"11.03.2025";"https://durnovcev2000.kaiten.ru/32955382"
"134424";"Волобуев Михаил Николаевич/Кладовка ""СКЛАДНО""";"Москва г, Малая Тульская ул., дом 16";"ЮЗАО+ЗАО";"Технологии Безопасности";"Гаук Е.М.";"КВ";"55.7078099";"37.6173025";"11.03.2025";"https://durnovcev2000.kaiten.ru/33814929"
"№ 1140/13";"ООО «Безопасность Групп»/(Аптека «Таблеточка»)";"Москва, ул. Керченская, 13";"ЮЗАО+ЗАО";"Технологии Безопасности";"Гусев П.И.";"КВ";"55.648044";"37.5782729";"11.03.2025";"https://durnovcev2000.kaiten.ru/44223171"
"137093";"Агаханян Роберт Тигранович/Кладовка ""СКЛАДНО""";"Москва , ул Трофимова, д. 2, к. 1";"ЮЗАО+ЗАО";"Технологии Безопасности";"Гаук Е.М.";"КВ";"55.7027522";"37.6603189";"10.03.2025";"https://durnovcev2000.kaiten.ru/32562831"
"137355";"ООО Виктория, Медицинский офис INVITRO";"г.Москва,ул.Зацепский Вал,6/13 с1";"ЮЗАО+ЗАО";"Гранит";"Мозговой И.В.";"КВ";"55.7328833";"37.639436";"10.03.2025";"https://durnovcev2000.kaiten.ru/35114740"
"134457";"ООО ""МАРИЛАВ""/Центр косметологии и стоматологии";"Москва г, Таганская ул, дом 26, строение 1";"ЮЗАО+ЗАО";"Гранит";"Гаук Е.М.";"КВ";"55.7397216";"37.6628568";"10.03.2025";"https://durnovcev2000.kaiten.ru/33814922"
