п/н";"Объект";"Адрес";"Округ";"Компания";"Менеджер";"Период обслуживания";"Latitude";"Longitude";"Дата последнего ТО";"Ссылка"
"90878";"ООО «ИМ» (Офис ООО Им Марк Трейдинг)";"Москва г, ш Варшавское, д. 114, к. 1";"ВАО";"Технологии Безопасности";"Ахметкалиев Ф.Х.";"КВ";"55.6376151";"37.6177153";"22.04.2025";"https://durnovcev2000.kaiten.ru/32519891"
"137943";"ИП Львов Евгений Александрович, Кладовка ""СКЛАДНО""";"Москва г, ул Коминтерна, д. 8";"ВАО";"Технологии Безопасности";"Гаук Е.М.";"КВ";"55.86190149999999";"37.6767783";"22.04.2025";"https://durnovcev2000.kaiten.ru/36831215"
"39282";"ИП Хегай Сергей Маркович (Сеть магазинов суши «СУШИ СТОР»)";"Москва г, Маршала Бирюзова ул, дом 28";"ВАО";"Гранит";"Калиниченко А.С.";"КВ";"55.797296";"37.486871";"22.04.2025";"https://durnovcev2000.kaiten.ru/33681087"
"132064";"ООО «ЛЕНЦ-98» Сеть салонов «Оптимист Оптика»";"г. Москва, ул. Маршала Бирюзова, д. 26";"ВАО";"Гранит";"Сергеев Н.Р.";"КВ";"55.7968455";"37.4876507";"22.04.2025";"https://durnovcev2000.kaiten.ru/33681083"
"39578";"ООО «МедОк» (Клиника «Инвитро»)";"г. Москва, ул. Менжинского 32к3";"ВАО";"Гранит";"Христенко Е.А.";"КВ";"55.8699317";"37.6673193";"22.04.2025";"https://durnovcev2000.kaiten.ru/33668895"
"45498";"Магазин ""Пиво"" ИП Толмачев";"г.Москва, ул. Летчика Бабушкина, д.31";"ВАО";"Гранит";"Калиниченко А.С.";"КВ";"55.8699781";"37.6758819";"22.04.2025";"https://durnovcev2000.kaiten.ru/33668910"
"134933";"ВКУСНО ООО Пекарня Буханка";"Москва г, Вернадского пр-кт, дом 54";"ВАО";"Эсток-Сервис";"Ткаченко В.Н.";"КВ";"55.6733021";"37.4947662";"20.04.2025";"https://durnovcev2000.kaiten.ru/33814830"
"1206";"ООО «Смарт Лавка»/Магазин SPAR EXPRESS";"Москва г, Гризодубовой ул, дом 2";"ВАО";"Эсток-Сервис";"Певзнер Ю.А.";"КВ";"55.78261579999999";"37.531815";"18.04.2025";"https://durnovcev2000.kaiten.ru/33680791"
"138516";"Аптека ""Планета здоровья""";"г.Москва, ул. Шолохова 12";"ВАО";"Гранит";"Пряшников Д.Ю.";"М";"55.6388407";"37.3523886";"18.04.2025";"https://durnovcev2000.kaiten.ru/32511923"
"ТО-998";"НОВАРД ЭСТЕЙТ МЕНЕДЖМЕНТ ЛИМИТЕД/Нежилое помещение";"Москва г, Пролетарский пр-кт, дом 23";"ВАО";"Технологии Безопасности";"Михно С.С.";"М";"55.6367867";"37.6563744";"17.04.2025";"https://durnovcev2000.kaiten.ru/32511904"
"90711";"Аптека ""Планета Здоровья""";"г.Москва, посёлок Воскресенское, Чечерский проезд 126";"ВАО";"Гранит";"Пряшников Д.Ю.";"М";"55.5243173";"37.5148939";"17.04.2025";"https://durnovcev2000.kaiten.ru/32511334"
"131662";"ООО ""Арсе"" /аптека Планета Здоровь";"Дедовск ул Победы, дом № 1";"ВАО";"Гранит";"Пряшников Д.Ю.";"КВ";"55.8700999";"37.1127624";"16.04.2025";"https://durnovcev2000.kaiten.ru/43239494"
"90464";"ООО «Вино Розница» м-н винзавода ""Мильстрим""";"с/п. Лучинское, п. Чеховский, стр. 6";"ВАО";"Гранит";"Плиткин А.";"КВ";"55.916641";"36.8589849";"16.04.2025";"https://durnovcev2000.kaiten.ru/33681543"
"130485";"ИП Конышева, школа скорочтения";"Балашиха, Железнодорожный мкр., мкр Саввино, Калинина 6";"ВАО";"Гранит";"Христенко Е.А.";"КВ";"55.740152";"38.028300";"16.04.2025";"https://durnovcev2000.kaiten.ru/31418085"
"131791";"ООО ""Здравник"" Аптека Планета Здоровья";"Московская обл, Балашиха, Новая ул., 9, Железнодорожный";"ВАО";"Гранит";"Пряшников Д.Ю.";"КВ";"55.748164";"38.013325";"16.04.2025";"https://durnovcev2000.kaiten.ru/31417615"
"133679";"ООО ""ДИОН"" / аптека Планета Здоровья";"Московская обл, Балашиха г, Железнодорожный мкр., Поликахина ул, дом 1";"ВАО";"Гранит";"Пряшников Д.Ю.";"КВ";"55.7908504";"37.7725435";"16.04.2025";"https://durnovcev2000.kaiten.ru/31418169"
"90977";"Стоматология ""Дентал Парк""";"сп. Булатниковское, "" ЖК Бутово парк"", д.6 пом. 7";"ВАО";"Гранит";"Калиниченко А.С.";"КВ";"55.5474901";"37.5891527";"15.04.2025";"https://durnovcev2000.kaiten.ru/32510794"
"135134";"ООО Фармсервис , Аптека Фармсервис";"г. Москва , ул.Новогиреевская , 4к1";"ВАО";"Гранит";"Зиганчин";"КВ";"55.7961775";"37.7660686";"15.04.2025";"https://durnovcev2000.kaiten.ru/31421781"
